               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.049389,             0.12451,                   0,              0.8269,              0.6624,             0.76745,             0.47286,            0.045736,             0.10676,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.049517,             0.12489,                   0,             0.82903,              0.6633,             0.76819,             0.47411,            0.045657,             0.10673,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.049521,             0.12553,                   0,             0.82942,             0.66179,             0.76837,             0.47548,            0.045599,             0.10656,                   0,             0.00604,             0.00604,             0.00604
                  42,             0.04922,             0.12404,                   0,             0.82769,             0.66494,             0.76921,              0.4764,             0.04551,             0.10642,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.049052,             0.12379,                   0,             0.82814,             0.66661,             0.77041,             0.47769,            0.045451,             0.10628,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.048911,             0.12328,                   0,             0.82954,             0.66662,             0.77104,             0.47848,            0.045391,             0.10616,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.048645,             0.12293,                   0,             0.82983,             0.66791,             0.77164,             0.47933,            0.045322,             0.10616,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.048865,             0.12302,                   0,             0.82968,             0.66795,             0.77156,             0.48014,            0.045261,             0.10617,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.048652,             0.12291,                   0,              0.8306,             0.66768,             0.77235,             0.48103,            0.045216,              0.1061,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.048571,             0.12234,                   0,             0.82918,             0.67033,             0.77288,             0.48178,            0.045157,              0.1059,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.048634,              0.1234,                   0,             0.82907,             0.67109,             0.77364,             0.48269,            0.045109,             0.10584,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.048499,             0.12218,                   0,             0.82799,             0.67193,             0.77394,             0.48291,            0.045062,             0.10576,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.048363,             0.12161,                   0,             0.82924,             0.67191,             0.77431,              0.4834,            0.045026,             0.10575,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.048594,             0.12247,                   0,             0.83101,             0.67185,             0.77469,             0.48389,            0.044979,             0.10567,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.048313,             0.12179,                   0,             0.83136,             0.67139,             0.77545,             0.48492,            0.044929,             0.10562,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.048218,             0.12216,                   0,             0.83162,             0.67106,             0.77539,             0.48563,            0.044875,             0.10553,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.048199,             0.12217,                   0,             0.83325,              0.6715,             0.77531,             0.48624,            0.044831,             0.10547,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.048272,             0.12228,                   0,             0.83491,             0.67127,             0.77602,              0.4869,             0.04479,             0.10541,                   0,            0.004555,            0.004555,            0.004555
                  57,             0.04791,             0.12108,                   0,             0.83365,             0.67319,             0.77649,             0.48743,            0.044753,             0.10538,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.048153,             0.12178,                   0,             0.83432,             0.67286,             0.77691,             0.48816,            0.044717,             0.10533,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.047853,              0.1209,                   0,             0.83422,             0.67309,             0.77699,             0.48834,            0.044683,             0.10529,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.047665,             0.11985,                   0,             0.83436,             0.67385,             0.77757,             0.48894,            0.044649,             0.10523,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.047763,             0.12079,                   0,             0.83441,              0.6741,             0.77789,             0.48934,            0.044615,              0.1052,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.047648,             0.12039,                   0,              0.8346,             0.67428,             0.77811,             0.48976,            0.044587,             0.10514,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.047578,             0.12011,                   0,             0.83437,             0.67518,             0.77834,             0.48999,            0.044562,             0.10511,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.047478,             0.12073,                   0,             0.83414,             0.67544,             0.77878,             0.49051,            0.044535,             0.10508,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.047403,             0.11941,                   0,              0.8343,             0.67586,             0.77903,             0.49106,             0.04451,             0.10504,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.047154,             0.11798,                   0,             0.83398,             0.67643,              0.7793,             0.49143,            0.044488,               0.105,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.047215,             0.11918,                   0,             0.83394,             0.67719,             0.77958,             0.49186,            0.044464,             0.10497,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.047351,             0.12019,                   0,             0.83366,             0.67765,             0.77965,              0.4921,            0.044444,             0.10495,                   0,            0.003367,            0.003367,            0.003367
